,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon
0,0,14870,2889,32,6.4,199,53,0,3,9,7,19,2,0,0,0,0,0,0,0,0,0,0,18397,3297,36,7.2,229,32,0,9,3,22,17,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,14497,2617,33,6.6,229,44,0,2,3,2,17,1,0,0,0,0,0,0,0,0,0,1,15893,4778,36,7.2,234,57,0,3,2,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,15617,1757,34,6.8,223,39,0,3,11,4,15,6,0,0,0,0,0,0,0,0,0,0,20409,4324,37,7.4,236,45,0,11,3,11,21,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,15684,1439,35,7.0,251,64,0,3,4,2,62,4,0,0,0,0,0,0,0,0,0,0,16150,3633,35,7.0,256,48,0,4,3,5,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,17472,3512,35,7.0,257,46,0,7,5,6,17,6,0,0,0,0,0,0,0,0,0,1,15588,3323,34,6.8,194,56,0,5,7,7,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,18931,1506,34,6.8,205,48,0,12,11,15,91,4,0,0,0,0,0,0,0,0,0,0,18472,4092,34,6.8,204,35,0,11,12,21,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,15178,2753,34,6.8,225,51,0,3,7,3,18,4,0,0,0,0,0,0,0,0,0,0,17334,5204,36,7.2,226,58,0,7,3,9,16,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,1,17766,3381,35,7.0,241,36,0,7,7,12,25,9,0,0,0,0,0,0,0,0,0,0,16922,4547,34,6.8,216,66,0,7,7,9,73,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1,18255,2020,36,7.2,266,56,0,7,9,9,27,11,0,0,0,0,0,0,0,0,0,1,16882,3312,36,7.2,240,44,0,9,7,8,24,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,15792,4332,35,7.0,257,61,0,2,1,4,18,8,0,0,0,0,0,0,0,0,0,1,14980,4160,34,6.8,247,60,0,1,2,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,17928,3538,35,7.0,258,72,0,7,1,6,18,5,0,0,0,0,0,0,0,0,0,1,13755,2550,32,6.4,225,54,0,1,7,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,15267,1847,34,6.8,233,59,0,3,4,2,21,2,0,0,0,0,0,0,0,1,1,0,16184,2504,35,7.0,231,44,0,4,3,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,16044,2959,33,6.6,266,62,0,1,4,3,18,8,0,0,0,0,0,0,0,0,0,1,15006,3171,34,6.8,230,45,0,4,1,5,116,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,17805,2280,35,7.0,241,35,0,9,8,9,15,1,0,0,0,0,0,0,0,0,0,0,16712,3802,35,7.0,231,52,0,8,9,6,12,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,15766,1686,34,6.8,224,44,0,5,6,10,18,5,0,0,0,0,0,0,0,0,0,0,16543,3668,34,6.8,245,52,0,6,5,6,24,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0,16999,2109,36,7.2,209,58,0,7,7,11,17,5,0,0,0,0,0,0,0,1,1,0,16484,2909,35,7.0,246,42,0,7,7,5,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,1,20139,5374,37,7.4,214,68,0,10,5,23,53,3,1,0,1,0,0,1,0,1,1,1,16200,2210,33,6.6,235,52,0,5,10,8,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0,15392,4692,35,7.0,282,60,0,1,4,1,14,3,0,0,0,0,0,0,0,0,0,0,15536,3711,35,7.0,224,47,0,4,1,4,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,17836,2311,35,7.0,213,47,0,10,6,16,15,3,0,0,0,0,0,0,0,0,0,0,16347,2072,34,6.8,207,44,0,6,10,7,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,16316,4716,36,7.2,269,59,0,3,1,3,62,5,0,0,0,0,0,0,0,1,1,1,14358,3083,34,6.8,245,44,0,1,3,2,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,0,16465,1290,37,7.4,248,63,0,5,8,1,25,7,0,0,0,0,0,0,0,1,1,0,18034,4659,35,7.0,229,40,0,8,5,13,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,1,18392,5507,35,7.0,243,56,0,8,6,11,21,6,0,0,0,0,0,0,0,1,1,0,16426,2841,33,6.6,202,56,0,6,8,12,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,0,15545,1535,35,7.0,232,59,0,3,3,4,34,3,0,0,0,0,0,0,0,0,0,1,16402,3027,35,7.0,265,57,0,3,3,5,16,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,1,16295,6090,35,7.0,241,44,0,6,4,8,28,3,0,0,0,0,0,0,0,0,0,0,16771,6076,34,6.8,242,48,0,4,6,9,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,19222,1722,37,7.4,236,53,0,12,2,13,46,1,0,0,0,0,0,0,0,1,1,1,13586,1461,33,6.6,187,41,0,2,12,2,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,1,16488,4138,36,7.2,226,56,0,6,4,4,41,4,0,0,0,0,0,0,0,0,0,0,16120,3570,34,6.8,250,51,0,4,6,2,43,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
